"N1","N2","POS1","POS2","Freq"
"いる","都会","動詞-名詞","自立-一般",1
"いる","都心","動詞-名詞","非自立-一般",1
"いる","当時","動詞-名詞","非自立-副詞可能",1
"いる","当初","動詞-名詞","非自立-副詞可能",1
"いる","等","動詞-名詞","非自立-固有名詞",1
"いる","働き","動詞-名詞","非自立-一般",1
"いる","動き","動詞-名詞","非自立-一般",1
"いる","同級生","動詞-名詞","自立-一般",1
"いる","同社","動詞-名詞","非自立-一般",1
"いる","同省","動詞-名詞","非自立-一般",1
"いる","導入","動詞-名詞","非自立-サ変接続",1
"いる","得","動詞-名詞","非自立-一般",1
"いる","独自","動詞-名詞","非自立-形容動詞語幹",1
"いる","読む","動詞-動詞","非自立-自立",1
"いる","読者","動詞-名詞","非自立-一般",1
"いる","読書","動詞-名詞","非自立-サ変接続",1
"いる","内定","動詞-名詞","非自立-サ変接続",1
"いる","南部","動詞-名詞","非自立-一般",1
"いる","日常","動詞-名詞","非自立-一般",1
"いる","日本人","動詞-名詞","非自立-一般",1
"いる","入荷","動詞-名詞","非自立-サ変接続",1
"いる","背景","動詞-名詞","非自立-一般",1
"いる","八","動詞-名詞","非自立-数",1
"いる","八頭","動詞-名詞","非自立-固有名詞",1
"いる","発注","動詞-名詞","非自立-サ変接続",1
"いる","判断","動詞-名詞","非自立-サ変接続",1
"いる","半年","動詞-名詞","非自立-副詞可能",1
"いる","反面","動詞-名詞","非自立-副詞可能",1
"いる","彼ら","動詞-名詞","自立-代名詞",1
"いる","美味しい","動詞-形容詞","非自立-自立",1
"いる","必要","動詞-名詞","自立-形容動詞語幹",1
"いる","病院","動詞-名詞","非自立-一般",1
"いる","病気","動詞-名詞","非自立-サ変接続",1
"いる","普段","動詞-名詞","非自立-副詞可能",1
"いる","部","動詞-名詞","非自立-一般",1
"いる","幅","動詞-名詞","非自立-一般",1
"いる","複数","動詞-名詞","自立-一般",1
"いる","物産","動詞-名詞","非自立-一般",1
"いる","物心","動詞-名詞","非自立-一般",1
"いる","雰囲気","動詞-名詞","非自立-一般",1
"いる","文科","動詞-名詞","非自立-一般",1
"いる","聞き手","動詞-名詞","非自立-一般",1
"いる","聞く","動詞-動詞","非自立-自立",1
"いる","平井","動詞-名詞","非自立-固有名詞",1
"いる","平均","動詞-名詞","非自立-サ変接続",1
"いる","平面","動詞-名詞","非自立-一般",1
"いる","米子","動詞-名詞","非自立-固有名詞",1
"いる","保育園","動詞-名詞","非自立-一般",1
"いる","保険","動詞-名詞","非自立-一般",1
"いる","補助","動詞-名詞","非自立-サ変接続",1
"いる","方々","動詞-名詞","自立-一般",1
"いる","方法","動詞-名詞","非自立-一般",1
"いる","法人","動詞-名詞","非自立-一般",1
"いる","豊か","動詞-名詞","非自立-形容動詞語幹",1
"いる","飽きる","動詞-動詞","非自立-自立",1
"いる","北岡","動詞-名詞","非自立-固有名詞",1
"いる","僕","動詞-名詞","非自立-代名詞",1
"いる","本人","動詞-名詞","非自立-一般",1
"いる","本当","動詞-名詞","非自立-一般",1
"いる","毎年","動詞-名詞","非自立-副詞可能",1
"いる","魅力","動詞-名詞","自立-一般",1
"いる","免疫","動詞-名詞","非自立-一般",1
"いる","面白い","動詞-形容詞","非自立-自立",1
"いる","問題","動詞-名詞","非自立-ナイ形容詞語幹",1
"いる","役場","動詞-名詞","非自立-一般",1
"いる","輸送","動詞-名詞","非自立-サ変接続",1
"いる","有限","動詞-名詞","非自立-一般",1
"いる","予想","動詞-名詞","自立-サ変接続",1
"いる","予約","動詞-名詞","非自立-サ変接続",1
"いる","預かる","動詞-動詞","非自立-自立",1
"いる","様","動詞-名詞","非自立-非自立",1
"いる","流れ","動詞-名詞","非自立-一般",1
"いる","料理","動詞-名詞","非自立-サ変接続",1
"いる","良書","動詞-名詞","非自立-一般",1
"いる","令","動詞-名詞","非自立-一般",1
"いる","歴代","動詞-名詞","非自立-一般",1
"いる","話す","動詞-動詞","非自立-自立",1
"いる","話題","動詞-名詞","非自立-一般",1
"いる","珈琲","動詞-名詞","非自立-一般",1
"いろいろ","発想","名詞-名詞","形容動詞語幹-サ変接続",1
"うえ","やる","名詞-動詞","非自立-自立",1
"うえ","新た","名詞-名詞","非自立-形容動詞語幹",1
"うえ","鳥取","名詞-名詞","非自立-固有名詞",1
"うえ","認識","名詞-名詞","非自立-サ変接続",1
"うえ","必要","名詞-名詞","非自立-形容動詞語幹",1
"うかがう","れる","動詞-動詞","自立-接尾",1
"うたう","みる","動詞-動詞","自立-非自立",1
"うち","10","名詞-名詞","非自立-数",1
"うち","4","名詞-名詞","非自立-数",1
"うち","90","名詞-名詞","一般-数",1
"うち","会社","名詞-名詞","一般-一般",1
"うち","起業","名詞-名詞","非自立-サ変接続",1
"うち","考える","名詞-動詞","非自立-自立",1
"うち","主","名詞-名詞","非自立-形容動詞語幹",1
"うち","人口","名詞-名詞","一般-一般",1
"うち","成長","名詞-名詞","非自立-サ変接続",1
"うち","損","名詞-名詞","非自立-一般",1
"うち","損失","名詞-名詞","非自立-サ変接続",1
"うち","地域","名詞-名詞","非自立-一般",1
"うち","鳥取","名詞-名詞","非自立-固有名詞",1
"うち","定番","名詞-名詞","一般-一般",1
"うち","働ける","名詞-動詞","一般-自立",1
"うち","働ける","名詞-動詞","非自立-自立",1
"うち","日","名詞-名詞","非自立-非自立",1
"うつわ","日々","名詞-名詞","一般-副詞可能",1
"うつ病","精神","名詞-名詞","一般-一般",1
"うどん","1","名詞-名詞","一般-数",1
"うどん","店","名詞-名詞","一般-接尾",1
"うどん","味","名詞-名詞","一般-一般",1
"うまい","つなげる","形容詞-動詞","自立-自立",1
"うまい","使いこなす","形容詞-動詞","自立-自立",1
"うまい","使いこなせる","形容詞-動詞","自立-自立",1
"うまい","使う","形容詞-動詞","自立-自立",1
"うまい","臨機応変","形容詞-名詞","自立-一般",1
"うまい","連携","形容詞-名詞","自立-サ変接続",1
"うまれる","しまう","動詞-動詞","自立-非自立",1
"うまれる","コミュニケーション","動詞-名詞","自立-一般",1
"うめ","本店","名詞-名詞","一般-一般",1
"うれしい","仕組み","形容詞-名詞","自立-一般",1
"ぇ","頑張る","名詞-動詞","一般-自立",1
"える","れる","動詞-動詞","自立-接尾",1
"える","一","動詞-名詞","非自立-数",1
"える","共栄","動詞-名詞","自立-サ変接続",1
"おいしい","ごはん","形容詞-名詞","自立-一般",1
"おいしい","さ","形容詞-名詞","自立-接尾",1
"おいしい","食材","形容詞-名詞","自立-一般",1
"おいしい","豆乳","形容詞-名詞","自立-一般",1
"おいしい","珈琲","形容詞-名詞","自立-一般",1
"おえる","こと","動詞-名詞","自立-非自立",1
"おかげ","エビデンス","名詞-名詞","一般-一般",1
"おかげ","言う","名詞-動詞","一般-自立",1
"おかしい","危機","形容詞-名詞","自立-一般",1
"おかしい","紹介","形容詞-名詞","自立-サ変接続",1
"おかしい","人","形容詞-名詞","自立-一般",1
"おく","いける","動詞-動詞","非自立-非自立",1
"おく","くださる","動詞-動詞","非自立-非自立",1
"おく","ほしい","動詞-形容詞","非自立-非自立",1
"おく","イニシアチブ","動詞-名詞","非自立-一般",1
"おく","イノベーション","動詞-名詞","非自立-一般",1
"おく","キャパ","動詞-名詞","非自立-一般",1
"おく","間違う","動詞-動詞","非自立-自立",1
"おく","最後","動詞-名詞","非自立-一般",1
"おく","事","動詞-名詞","非自立-非自立",1
"おく","自立","動詞-名詞","非自立-サ変接続",1
"おく","重要","動詞-名詞","非自立-形容動詞語幹",1
"おく","笑","動詞-名詞","非自立-固有名詞",1
"おく","人物","動詞-名詞","非自立-一般",1
"おく","内田","動詞-名詞","非自立-固有名詞",1
"おく","方","動詞-名詞","非自立-非自立",1
"おく","本","動詞-名詞","非自立-一般",1
"おく","欲しい","動詞-形容詞","非自立-非自立",1
"おく","良い","動詞-形容詞","非自立-自立",1
"おしまい","フォロー","名詞-名詞","一般-サ変接続",1
"おしゃべり","控えめ","名詞-名詞","サ変接続-形容動詞語幹",1
"おじ","いち","名詞-名詞","一般-一般",1
"おすすめ","ポイント","名詞-名詞","サ変接続-一般",1
"おすすめ","焼き肉","名詞-名詞","サ変接続-一般",1
"おっしゃる","れる","動詞-動詞","自立-接尾",1
"おびやかす","不条理","動詞-名詞","自立-形容動詞語幹",1
"おもい","祭り","形容詞-名詞","自立-一般",1
"おもちゃ","LEGO","名詞-名詞","一般-固有名詞",1
"おもちゃ","作る","名詞-動詞","一般-自立",1
"おもちゃ","博覧","名詞-名詞","一般-サ変接続",1
"およぶ","子育て","動詞-名詞","自立-サ変接続",1
"おりる","私","動詞-名詞","自立-代名詞",1
"おる","2018","動詞-名詞","非自立-数",1
"おる","2019","動詞-名詞","非自立-数",1
"おる","2025","動詞-名詞","非自立-数",1
"おる","5575","動詞-名詞","非自立-数",1
"おる","SNS","動詞-名詞","非自立-固有名詞",1
"おる","お客様","動詞-名詞","非自立-一般",1
"おる","これ","動詞-名詞","非自立-代名詞",1
"おる","これら","動詞-名詞","非自立-代名詞",1
"おる","それ","動詞-名詞","非自立-代名詞",1
"おる","なくなる","動詞-動詞","非自立-自立",1
"おる","スマート","動詞-名詞","非自立-固有名詞",1
"おる","タスク","動詞-名詞","非自立-一般",1
"おる","ビジネス","動詞-名詞","非自立-一般",1
"おる","意思","動詞-名詞","非自立-サ変接続",1
"おる","域内","動詞-名詞","非自立-一般",1
"おる","育児","動詞-名詞","非自立-サ変接続",1
"おる","学校","動詞-名詞","非自立-一般",1
"おる","株","動詞-名詞","非自立-一般",1
"おる","感染","動詞-名詞","非自立-サ変接続",1
"おる","寄付","動詞-名詞","非自立-サ変接続",1
"おる","居住","動詞-名詞","非自立-サ変接続",1
"おる","献血","動詞-名詞","非自立-サ変接続",1
"おる","現在","動詞-名詞","非自立-副詞可能",1
"おる","口","動詞-名詞","非自立-一般",1
"おる","国内","動詞-名詞","非自立-一般",1
"おる","今","動詞-名詞","非自立-副詞可能",1
"おる","今年","動詞-名詞","非自立-副詞可能",1
"おる","採用","動詞-名詞","非自立-サ変接続",1
"おる","山口","動詞-名詞","非自立-固有名詞",1
"おる","施策","動詞-名詞","非自立-サ変接続",1
"おる","持ち歩く","動詞-動詞","非自立-自立",1
"おる","自己","動詞-名詞","非自立-一般",1
"おる","実現","動詞-名詞","非自立-サ変接続",1
"おる","写真","動詞-名詞","非自立-一般",1
"おる","就職","動詞-名詞","非自立-サ変接続",1
"おる","詳細","動詞-名詞","非自立-形容動詞語幹",1
"おる","上","動詞-名詞","非自立-一般",1
"おる","情報","動詞-名詞","非自立-一般",1
"おる","身","動詞-名詞","非自立-一般",1
"おる","成果","動詞-名詞","非自立-一般",1
"おる","生徒","動詞-名詞","非自立-一般",1
"おる","大山","動詞-名詞","非自立-固有名詞",1
"おる","地方","動詞-名詞","非自立-一般",1
"おる","当社","動詞-名詞","非自立-一般",1
"おる","日々","動詞-名詞","非自立-副詞可能",1
"おる","非常","動詞-名詞","非自立-形容動詞語幹",1
"おる","面白い","動詞-形容詞","非自立-自立",1
"おる","予見","動詞-名詞","非自立-サ変接続",1
"おる","予断","動詞-名詞","非自立-サ変接続",1
"おる","様々","動詞-名詞","非自立-形容動詞語幹",1
"おる","来る","動詞-動詞","非自立-自立",1
"おる","旅","動詞-名詞","非自立-サ変接続",1
"おる","労働","動詞-名詞","非自立-サ変接続",1
"おろか","自分","名詞-名詞","一般-一般",1
"お越し","いただく","名詞-動詞","一般-非自立",1
"お化け","屋敷","名詞-名詞","一般-一般",1
"お家","過ごす","名詞-動詞","一般-自立",1
"お家","感じ取る","名詞-動詞","一般-自立",1
"お家","料理","名詞-名詞","一般-サ変接続",1
"お菓子","詰め合わせ","名詞-名詞","一般-一般",1
"お菓子","無料","名詞-名詞","一般-一般",1
"お過ごし","制限","名詞-名詞","一般-サ変接続",1
"お過ごし","多く","名詞-名詞","一般-副詞可能",1
"お過ごし","日常","名詞-名詞","一般-一般",1
"お願い","様々","名詞-名詞","サ変接続-形容動詞語幹",1
"お客様","????","名詞-名詞","一般-サ変接続",1
"お客様","おいしい","名詞-形容詞","一般-自立",1
"お客様","感染","名詞-名詞","一般-サ変接続",1
"お客様","企業","名詞-名詞","一般-一般",1
"お客様","通販","名詞-名詞","一般-一般",1
"お客様","予防","名詞-名詞","一般-サ変接続",1
"お客様","預かる","名詞-動詞","一般-自立",1
"お客様","理解","名詞-名詞","一般-サ変接続",1
"お供","山陰","名詞-名詞","一般-固有名詞",1
"お供","非常","名詞-名詞","一般-形容動詞語幹",1
"お金","ある","名詞-動詞","一般-自立",1
"お金","かける","名詞-動詞","一般-自立",1
"お金","こと","名詞-名詞","一般-非自立",1
"お金","稼ぐ","名詞-動詞","一般-自立",1
"お金","回す","名詞-動詞","一般-自立",1
"お金","使う","名詞-動詞","一般-自立",1
"お金","借りる","名詞-動詞","一般-自立",1
"お金","人","名詞-名詞","一般-一般",1
"お金","生活","名詞-名詞","一般-サ変接続",1
"お金","貯める","名詞-動詞","一般-自立",1
"お互い","影響","名詞-名詞","一般-サ変接続",1
"お互い","自治体","名詞-名詞","一般-一般",1
"お互い","助け合う","名詞-動詞","一般-自立",1
"お互い","上手い","名詞-形容詞","一般-自立",1
"お互い","利益","名詞-名詞","一般-一般",1
"お互い","連絡","名詞-名詞","一般-サ変接続",1
"お子さん","1","名詞-名詞","一般-数",1
"お子さん","いる","名詞-動詞","一般-自立",1
"お子さん","持つ","名詞-動詞","一般-自立",1
"お子さん","有無","名詞-名詞","一般-一般",1
"お子様","感謝","名詞-名詞","一般-サ変接続",1
"お子様","持つ","名詞-動詞","一般-自立",1
"お祝い","?","名詞-名詞","サ変接続-サ変接続",1
"お出かけ","通勤","名詞-名詞","サ変接続-サ変接続",1
"お世話","できる","名詞-動詞","サ変接続-自立",1
"お世話","近所","名詞-名詞","サ変接続-一般",1
"お前","よう","名詞-名詞","代名詞-非自立",1
"お待ち","くださる","名詞-動詞","サ変接続-自立",1
"お知らせ","TBO","名詞-名詞","サ変接続-固有名詞",1
"お茶","ゲーム","名詞-名詞","一般-一般",1
"お湯","2","名詞-名詞","一般-数",1
"お答え","いただく","名詞-動詞","サ変接続-非自立",1
"お披露目","予定","名詞-名詞","一般-サ変接続",1
"お盆","2000","名詞-名詞","一般-数",1
"お誘い","いただく","名詞-動詞","サ変接続-自立",1
"お礼","運営","名詞-名詞","サ変接続-サ変接続",1
"お話","何","名詞-名詞","サ変接続-代名詞",1
"お話","縫製","名詞-名詞","サ変接続-サ変接続",1
"かえる","暖かい","動詞-形容詞","自立-自立",1
"かかる","6","動詞-名詞","自立-数",1
"かかる","いる","動詞-動詞","自立-非自立",1
"かかる","くる","動詞-動詞","非自立-非自立",1
"かかる","コスト","動詞-名詞","自立-一般",1
"かかる","デメリット","動詞-名詞","自立-一般",1
"かかる","家族","動詞-名詞","自立-一般",1
"かかる","海外","動詞-名詞","自立-一般",1
"かかる","国","動詞-名詞","自立-一般",1
"かかる","自分","動詞-名詞","自立-一般",1
"かかる","税金","動詞-名詞","自立-一般",1
"かかる","税金","動詞-名詞","非自立-一般",1
"かかる","鳥取","動詞-名詞","自立-固有名詞",1
"かかる","電気","動詞-名詞","自立-一般",1
"かかる","保管","動詞-名詞","自立-サ変接続",1
"かかわる","いく","動詞-動詞","自立-非自立",1
"かかわる","ローカル","動詞-名詞","自立-一般",1
"かかわる","昔","動詞-名詞","自立-副詞可能",1
"かかわる","先","動詞-名詞","自立-一般",1
"かかわる","様々","動詞-名詞","自立-形容動詞語幹",1
"かぎり","誰","名詞-名詞","非自立-代名詞",1
"かく","みる","動詞-動詞","自立-非自立",1
"かける","100","動詞-名詞","自立-数",1
"かける","いただく","動詞-動詞","自立-非自立",1
"かける","いる","動詞-動詞","自立-非自立",1
"かける","こと","動詞-名詞","自立-非自立",1
"かける","しまう","動詞-動詞","自立-非自立",1
"かける","それ","動詞-名詞","自立-代名詞",1
"かける","みる","動詞-動詞","自立-非自立",1
"かける","工夫","動詞-名詞","非自立-サ変接続",1
"かける","時","動詞-名詞","自立-非自立",1
"かける","時点","動詞-名詞","自立-一般",1
"かける","水","動詞-名詞","自立-一般",1
"かさ張る","こと","動詞-名詞","自立-非自立",1
"かざす","支払い","動詞-名詞","自立-一般",1
"かじる","プログラミング","動詞-名詞","自立-サ変接続",1
"かた","縛る","名詞-動詞","接尾-自立",1
"かたち","クリエイティブ","名詞-名詞","一般-一般",1
"かな","くれる","名詞-動詞","一般-自立",1
"かな","色","名詞-名詞","一般-接尾",1
"かなり","差","名詞-名詞","一般-一般",1
"かなり","税","名詞-名詞","一般-一般",1
"かなり","大きい","名詞-形容詞","一般-自立",1
"かなり","変容","名詞-名詞","一般-サ変接続",1
"かに","くい","名詞-形容詞","一般-自立",1
"かねる","感染","動詞-名詞","非自立-サ変接続",1
"かねる","二","動詞-名詞","非自立-数",1
"かまくら","雪だるま","名詞-名詞","一般-一般",1
"かも","議論","名詞-名詞","一般-サ変接続",1
"かれる","?","動詞-名詞","自立-サ変接続",1
"かん","さん","名詞-名詞","一般-接尾",1
"か月","30","名詞-名詞","接尾-数",1
"か月","後","名詞-名詞","接尾-接尾",1
"か月","分","名詞-名詞","接尾-接尾",1
"か月","目","名詞-名詞","接尾-接尾",1
"か月","有効","名詞-名詞","接尾-形容動詞語幹",1
"か所","ある","名詞-動詞","接尾-自立",1
"か条","ある","名詞-動詞","接尾-自立",1
"か条","正しい","名詞-形容詞","接尾-自立",1
"がた","2019","名詞-名詞","一般-数",1
"がち","Z","名詞-名詞","接尾-固有名詞",1
"がち","ある","名詞-動詞","接尾-自立",1
"がち","ため","名詞-名詞","接尾-非自立",1
"がち","視聴","名詞-名詞","接尾-サ変接続",1
"がち","授業","名詞-名詞","接尾-サ変接続",1
"がち","人口","名詞-名詞","接尾-一般",1
"がち","点","名詞-名詞","接尾-非自立",1
"がち","読書","名詞-名詞","接尾-サ変接続",1
"がち","話","名詞-名詞","接尾-サ変接続",1
"がる","いる","動詞-動詞","接尾-非自立",1
"がる","上司","動詞-名詞","接尾-一般",1
"がん","ばり","名詞-名詞","一般-接尾",1
"がん","患者","名詞-名詞","一般-一般",1
"がん","感染","名詞-名詞","一般-サ変接続",1
"がん","心","名詞-名詞","一般-一般",1
"がん","予防","名詞-名詞","一般-サ変接続",1
"がんばる","とる","動詞-動詞","自立-非自立",1
"がんばる","ほしい","動詞-形容詞","自立-非自立",1
"きく","人口","動詞-名詞","自立-一般",1
"きっかけ","2","名詞-名詞","一般-数",1
"きっかけ","ある","名詞-動詞","一般-自立",1
"きっかけ","づくり","名詞-名詞","一般-接尾",1
"きっかけ","安部","名詞-名詞","一般-固有名詞",1
"きっかけ","何","名詞-名詞","一般-代名詞",1
"きっかけ","学校","名詞-名詞","一般-一般",1
"きっかけ","欠ける","名詞-動詞","一般-自立",1
"きっかけ","作る","名詞-動詞","一般-自立",1
"きっかけ","事業","名詞-名詞","一般-一般",1
"きっかけ","主","名詞-名詞","一般-形容動詞語幹",1
"きっかけ","設立","名詞-名詞","一般-サ変接続",1
"きっかけ","対面","名詞-名詞","一般-サ変接続",1
"きっかけ","大山","名詞-名詞","一般-固有名詞",1
"きっかけ","読む","名詞-動詞","一般-自立",1
"きっかけ","与える","名詞-動詞","一般-自立",1
"きつい","すぎる","形容詞-動詞","自立-非自立",1
"きめる","細やか","動詞-名詞","自立-形容動詞語幹",1
"きやすい","例文","形容詞-名詞","自立-一般",1
"きり","ない","名詞-形容詞","一般-自立",1
"きる","?","動詞-名詞","自立-サ変接続",1
"きる","覚悟","動詞-名詞","自立-サ変接続",1
"きる","最期","動詞-名詞","非自立-副詞可能",1
"きる","話","動詞-名詞","非自立-サ変接続",1
"きれる","こと","動詞-名詞","非自立-非自立",1
"きれる","細かい","動詞-形容詞","非自立-自立",1
"きれる","市町村","動詞-名詞","非自立-一般",1
"きれる","取り組み","動詞-名詞","非自立-一般",1
"きれる","鉄則","動詞-名詞","非自立-一般",1
"きれる","田舎","動詞-名詞","非自立-一般",1
"ぎこばん","1","名詞-名詞","一般-数",1
"く","こと","動詞-名詞","非自立-非自立",1
"く","設計","動詞-名詞","非自立-サ変接続",1
"く","誕生","動詞-名詞","非自立-サ変接続",1
"くい","キャッチ","形容詞-名詞","自立-サ変接続",1
"くう","詳しい","動詞-形容詞","自立-自立",1
"くう","鳥取","動詞-名詞","自立-固有名詞",1
"くう","店","動詞-名詞","自立-一般",1
"くう","里","動詞-名詞","自立-一般",1
"くすぐる","話題","動詞-名詞","自立-一般",1
"くださる","1","動詞-名詞","非自立-数",1
"くださる","10","動詞-名詞","自立-数",1
"くださる","2","動詞-名詞","自立-数",1
"くださる","3","動詞-名詞","自立-数",1
"くださる","3","動詞-名詞","非自立-数",1
"くださる","いる","動詞-動詞","非自立-非自立",1
"くださる","お子様","動詞-名詞","非自立-一般",1
"くださる","それ","動詞-名詞","非自立-代名詞",1
"くださる","もの","動詞-名詞","自立-非自立",1
"くださる","キャッシュ","動詞-名詞","非自立-一般",1
"くださる","グラフタイプグラフタイプ","動詞-名詞","非自立-一般",1
"くださる","シーン","動詞-名詞","非自立-一般",1
"くださる","シャッター","動詞-名詞","非自立-一般",1
"くださる","スマート","動詞-名詞","非自立-固有名詞",1
"くださる","チェック","動詞-名詞","非自立-サ変接続",1
"くださる","トレーニング","動詞-名詞","非自立-サ変接続",1
"くださる","ポイント","動詞-名詞","非自立-一般",1
"くださる","ライブ","動詞-名詞","自立-一般",1
"くださる","意見","動詞-名詞","非自立-サ変接続",1
"くださる","意味","動詞-名詞","非自立-サ変接続",1
"くださる","育児","動詞-名詞","自立-サ変接続",1
"くださる","右","動詞-名詞","非自立-一般",1
"くださる","雨","動詞-名詞","非自立-一般",1
"くださる","皆さん","動詞-名詞","非自立-一般",1
"くださる","開催","動詞-名詞","非自立-サ変接続",1
"くださる","閑散","動詞-名詞","非自立-一般",1
"くださる","嬉しい","動詞-形容詞","非自立-自立",1
"くださる","具体","動詞-名詞","非自立-一般",1
"くださる","結果","動詞-名詞","非自立-副詞可能",1
"くださる","結婚","動詞-名詞","非自立-サ変接続",1
"くださる","献血","動詞-名詞","非自立-サ変接続",1
"くださる","言う","動詞-動詞","非自立-自立",1
"くださる","言える","動詞-動詞","非自立-自立",1
"くださる","厚生","動詞-名詞","自立-一般",1
"くださる","今回","動詞-名詞","非自立-副詞可能",1
"くださる","最初","動詞-名詞","非自立-一般",1
"くださる","山根","動詞-名詞","非自立-固有名詞",1
"くださる","子育て","動詞-名詞","非自立-サ変接続",1
"くださる","旬刊","動詞-名詞","自立-一般",1
"くださる","書籍","動詞-名詞","非自立-一般",1
"くださる","詳細","動詞-名詞","非自立-形容動詞語幹",1
"くださる","睡眠","動詞-名詞","非自立-サ変接続",1
"くださる","政府","動詞-名詞","非自立-一般",1
"くださる","生涯","動詞-名詞","非自立-副詞可能",1
"くださる","石川","動詞-名詞","非自立-固有名詞",1
"くださる","絶対","動詞-名詞","自立-副詞可能",1
"くださる","村岡","動詞-名詞","非自立-固有名詞",1
"くださる","太","動詞-名詞","自立-固有名詞",1
"くださる","誰","動詞-名詞","非自立-代名詞",1
"くださる","地方","動詞-名詞","非自立-一般",1
"くださる","鳥取","動詞-名詞","自立-固有名詞",1
"くださる","定量","動詞-名詞","非自立-一般",1
"くださる","東京","動詞-名詞","非自立-固有名詞",1
"くださる","当社","動詞-名詞","非自立-一般",1
"くださる","読書","動詞-名詞","自立-サ変接続",1
"くださる","日本","動詞-名詞","自立-固有名詞",1
"くださる","補助","動詞-名詞","非自立-サ変接続",1
"くださる","方","動詞-名詞","非自立-非自立",1
"くださる","北岡","動詞-名詞","自立-固有名詞",1
"くださる","未来","動詞-名詞","非自立-一般",1
"くださる","料金","動詞-名詞","自立-一般",1
"くる","1","動詞-名詞","非自立-数",1
"くる","おる","動詞-動詞","非自立-非自立",1
"くる","くださる","動詞-動詞","非自立-非自立",1
"くる","くれる","動詞-動詞","非自立-非自立",1
"くる","これら","動詞-名詞","非自立-代名詞",1
"くる","そう","動詞-名詞","非自立-接尾",1
"くる","そこ","動詞-名詞","非自立-代名詞",1
"くる","それ","動詞-名詞","非自立-代名詞",1
"くる","ため","動詞-名詞","非自立-非自立",1
"くる","ふるさと","動詞-名詞","非自立-一般",1
"くる","よう","動詞-名詞","非自立-非自立",1
"くる","られる","動詞-動詞","非自立-接尾",1
"くる","れる","動詞-動詞","非自立-接尾",1
"くる","イン","動詞-名詞","非自立-一般",1
"くる","オルタナティブ","動詞-名詞","非自立-一般",1
"くる","テレビ","動詞-名詞","非自立-一般",1
"くる","ネイティブ","動詞-名詞","非自立-一般",1
"くる","ノウハウ","動詞-名詞","非自立-一般",1
"くる","パイオニア","動詞-名詞","非自立-固有名詞",1
"くる","ポイント","動詞-名詞","非自立-一般",1
"くる","ミレニアル","動詞-名詞","非自立-一般",1
"くる","リツイート","動詞-名詞","非自立-一般",1
"くる","レポート","動詞-名詞","非自立-サ変接続",1
"くる","以外","動詞-名詞","非自立-非自立",1
"くる","移住","動詞-名詞","非自立-サ変接続",1
"くる","飲食","動詞-名詞","非自立-サ変接続",1
"くる","疫病","動詞-名詞","非自立-一般",1
"くる","価値","動詞-名詞","非自立-一般",1
"くる","課題","動詞-名詞","非自立-一般",1
"くる","過去","動詞-名詞","非自立-副詞可能",1
"くる","介護","動詞-名詞","非自立-サ変接続",1
"くる","皆さん","動詞-名詞","非自立-一般",1
"くる","学生","動詞-名詞","非自立-一般",1
"くる","活かす","動詞-動詞","非自立-自立",1
"くる","株式会社","動詞-名詞","非自立-一般",1
"くる","記事","動詞-名詞","非自立-一般",1
"くる","起業","動詞-名詞","非自立-サ変接続",1
"くる","緊急","動詞-名詞","非自立-形容動詞語幹",1
"くる","傾向","動詞-名詞","非自立-一般",1
"くる","経緯","動詞-名詞","非自立-一般",1
"くる","経済","動詞-名詞","非自立-一般",1
"くる","結果","動詞-名詞","非自立-副詞可能",1
"くる","県","動詞-名詞","非自立-一般",1
"くる","原因","動詞-名詞","非自立-一般",1
"くる","御社","動詞-名詞","非自立-一般",1
"くる","交通","動詞-名詞","非自立-一般",1
"くる","考える","動詞-動詞","非自立-自立",1
"くる","講座","動詞-名詞","非自立-一般",1
"くる","子ども","動詞-名詞","非自立-一般",1
"くる","子育て","動詞-名詞","非自立-サ変接続",1
"くる","私","動詞-名詞","非自立-代名詞",1
"くる","時","動詞-名詞","非自立-非自立",1
"くる","自粛","動詞-名詞","非自立-サ変接続",1
"くる","自負","動詞-名詞","非自立-サ変接続",1
"くる","若者","動詞-名詞","非自立-一般",1
"くる","新型","動詞-名詞","非自立-一般",1
"くる","身","動詞-名詞","非自立-一般",1
"くる","人","動詞-名詞","非自立-一般",1
"くる","人間","動詞-名詞","非自立-一般",1
"くる","人材","動詞-名詞","非自立-一般",1
"くる","数","動詞-名詞","非自立-一般",1
"くる","税金","動詞-名詞","非自立-一般",1
"くる","存在","動詞-名詞","非自立-サ変接続",1
"くる","他","動詞-名詞","非自立-一般",1
"くる","大手","動詞-名詞","非自立-一般",1
"くる","地域","動詞-名詞","非自立-一般",1
"くる","鳥取砂丘","動詞-名詞","非自立-固有名詞",1
"くる","鳥取大学","動詞-名詞","非自立-固有名詞",1
"くる","直近","動詞-名詞","非自立-一般",1
"くる","土地","動詞-名詞","非自立-一般",1
"くる","東京","動詞-名詞","非自立-固有名詞",1
"くる","道のり","動詞-名詞","非自立-一般",1
"くる","日南","動詞-名詞","非自立-固有名詞",1
"くる","背景","動詞-名詞","非自立-一般",1
"くる","美しい","動詞-形容詞","非自立-自立",1
"くる","方向","動詞-名詞","非自立-一般",1
"くる","面白い","動詞-形容詞","自立-自立",1
"くる","問い","動詞-名詞","非自立-一般",1
"くる","問題","動詞-名詞","非自立-ナイ形容詞語幹",1
